Audience name,City,Total users,New users,Sessions,Bounce rate,Average session duration,Views,Views per active user
All Users,Lagos,8,5,11,0.363636364,337.5880415,23,3.285714286
All Users,(not set),6,5,8,0.875,5.00666375,8,1.333333333
All Users,Lekki,3,3,3,0.333333333,61.004777,5,1.666666667
All Users,Abuja,2,2,2,0.5,116.58941,3,1.5
All Users,Huddersfield,2,1,4,0.25,43.34760825,10,5
All Users,Singapore,2,2,2,1,0,2,1
All Users,Altoona,1,1,1,1,0,1,1
All Users,Ashburn,1,1,1,1,0,1,1
All Users,London,1,0,1,1,0,1,0
All Users,Lulea,1,1,1,1,0,1,1
All Users,Paris,1,1,1,1,0,1,1
All Users,Port Harcourt,1,1,1,1,0,1,1
New visitors,Paris,1,1,1,1,0,1,1
